Genus,Species,sex,ID,CL,CW,mass,HL,HW,HH,LJL,BF,diet
Malaclemys,terrapin,F,431B242232,206,162,1550,64.4,38.1,26.1,41.6,104.64,durophagous
Malaclemys,terrapin,F,087-809-633,207,157,1600,69.8,38.4,25.7,38,122.85,durophagous
Malaclemys,terrapin,F,087-849-783,207,156,1675,71,42.2,26.6,41.9,134.82,durophagous
Malaclemys,terrapin,F,107-310-259,207,161,1475,63.2,38.6,25.5,41.6,101.43,durophagous
Malaclemys,terrapin,F,087-849-098,208,154,1475,64.6,38.7,25.2,42.6,125.56,durophagous
Malaclemys,terrapin,F,087-849-593,209,166,1825,68.2,37.9,25.6,38.9,127.89,durophagous
Malaclemys,terrapin,F,047-108-814,210,170,1700,64.3,41.6,28.9,39.3,144.9,durophagous
Malaclemys,terrapin,F,087-849-851,210,164,1625,68,38.3,25.7,44.7,124.61,durophagous
Malaclemys,terrapin,F,18,211,163,1600,60.2,35.3,25.4,42.8,97.59,durophagous
Malaclemys,terrapin,F,047-303-869,212,167,1700,71.1,37.9,24.6,37.9,94.5,durophagous
Malaclemys,terrapin,F,431B475310,212,165,1575,64.1,36.2,23.6,38.8,119.07,durophagous
Malaclemys,terrapin,F,047-034-824,213,158,1550,65.6,40.8,25.9,41,151.52,durophagous
Malaclemys,terrapin,F,2,213,154,1400,68,38.9,27.3,41.1,112.77,durophagous
Malaclemys,terrapin,F,087-827-534,215,170,1800,69.2,37.7,24.7,37.5,141.75,durophagous
Malaclemys,terrapin,F,3,215,153,1475,67.1,37.4,26.5,39.8,104.83,durophagous
Malaclemys,terrapin,F,047-381-046,216,163,1575,58.5,37,25.9,42.5,108.99,durophagous
Malaclemys,terrapin,F,087-830-588,218,164,1575,69.2,38.3,24.9,38.3,91.22,durophagous
Malaclemys,terrapin,J,Tank 36,219,163,1700,66.9,37.4,25.7,40.2,127.89,durophagous
Malaclemys,terrapin,F,087-826-626,220,170,1800,68.4,39.7,24.3,39.7,102.69,durophagous
Malaclemys,terrapin,F,087-809-830,221,172,1950,69.7,37.8,24.5,40.7,141.12,durophagous
Orlitia,borneensis,,OB1,304.8,197.74,3818,81.62,47.54,48.19,39.21,117.38,omnivorous
Paleodiscus,sinensis,m,PSI1,117.96,100.32,209,36.28,25,18.53,30.39,39.63,piscivorous
Paleodiscus,sinensis,f,PSI2,163.22,144.75,400,43.76,29.57,20.41,37.98,79.25,piscivorous
Pelomedusa,subrufa,,PS1,104.9,82.07,153.93,27.48,23.05,13.72,19.55,7.34,omnivorous
Pelomedusa,subrufa,,PS3,111.8,83.64,192.3,30.97,24.79,12.87,21.81,6.02,omnivorous
Pelomedusa,subrufa,,PS2,112.13,84.58,214.2,30.18,26.08,14.56,22.2,8.83,omnivorous
Pelomedusa,subrufa,,PS4,127.39,96.3,333.7,32.99,27.9,18.3,25.98,11.3,omnivorous
Phrynops,nasuta,,PN1,284,210,1752,91.87,75.65,46.25,69.27,432.4,durophagous
Platemys,platycephala,,PP1,126.56,88.34,217.53,30.8,20.97,11.85,17.63,6.89,insectivorous
Platemys,platycephala,f,1,135.37,91.85,225,27.62,22.18,12.05,19.47,15.5,insectivorous
Platemys,platycephala,,PP2,145.48,101.31,273.43,33.85,22.58,12.95,19.73,7.93,insectivorous
Platysternon,megacephalum,,PM7,88.1,71,116.7,33.95,27.87,20.46,27.92,45.45,durophagous
Platysternon,megacephalum,,PM4,91.56,73.27,123.89,33.15,29.92,21.05,30.99,39.63,durophagous
Platysternon,megacephalum,,PM3,93.22,76.27,141.2,35.26,31.09,21.29,28.3,41.13,durophagous
Platysternon,megacephalum,,PM1,93.61,76.49,152.26,32.85,29.03,20.98,28.89,46.95,durophagous
Platysternon,megacephalum,,PM6,94.08,72.55,133.62,36.31,29.55,20.87,28.19,29.39,durophagous
Platysternon,megacephalum,,PM2,97.99,73.09,154.13,34.91,29.77,21.44,33.63,46.95,durophagous
Rhinoclemmys,areolata,M,16,117.3,,91.3,31.2,18.8,17.1,,16.482,omnivorous
Rhinoclemmys,areolata,F,15,121.6,,90,32.2,18.3,14.1,,14.941,omnivorous
Rhinoclemmys,areolata,M,1C,125.2,,92.3,32.8,20.1,14.7,,18.291,omnivorous
Rhinoclemmys,areolata,M,19,125.2,,97.3,33.2,19.8,13.3,,17.42,omnivorous
Rhinoclemmys,areolata,M,2,130.3,,99.1,32.9,19.3,13.1,,15.008,omnivorous
Rhinoclemmys,areolata,M,6,135.3,,101,36,19.8,14.3,,15.142,omnivorous
Rhinoclemmys,areolata,M,1,137.5,,104.8,32.8,20.8,14.2,,16.281,omnivorous
Rhinoclemmys,areolata,F,20,151.1,,115,37.5,22.8,14.3,,23.316,omnivorous
Rhinoclemmys,areolata,F,2,176.8,,121.9,36,23.4,16.7,,26.867,omnivorous
Rhinoclemmys,p. pulcherrima,M,4002,141.8,,110.7,35.1,20,12.8,,7.571,omnivorous
Rhinoclemmys,p. pulcherrima,M,7411,151.3,,108.3,32.8,18.2,17.8,,8.375,omnivorous
Rhinoclemmys,p. pulcherrima,F,4003,167,,118.8,37.2,22,17.3,,9.581,omnivorous
Rhinoclemmys,p. pulcherrima,F,7403,170.15,,126.8,36.5,22.5,18.6,,7.37,omnivorous
Rhinoclemmys,p. rogerbarbouri,F?,223,104.5,,82.5,24.8,15.8,10.7,,3.886,omnivorous
Rhinoclemmys,p. rogerbarbouri,M,222,118,,89.2,27.8,16.8,10.2,,5.092,omnivorous
Rhinoclemmys,p. rogerbarbouri,M,2,134.3,,100.8,31,18.1,12.8,,4.891,omnivorous
Rhinoclemmys,p. rogerbarbouri,M,3,143.2,,108.7,27.8,20.6,14.2,,8.911,omnivorous
Rhinoclemmys,p. rogerbarbouri,M,1,144.3,,112.5,30.2,19.7,12.7,,10.385,omnivorous
Rhinoclemmys,p. rogerbarbouri,F,1,146.8,,111.3,31.2,21.3,14,,8.442,omnivorous
Rhinoclemmys,p. rogerbarbouri,M,4,149.3,,109.8,31,20.1,13.4,,13.132,omnivorous
Rhinoclemmys,p. rogerbarbouri,F,no mark,168.6,,130.4,34.7,20.9,7.8,,5.561,omnivorous
Rhinoclemmys,r. perixantha,M,339,98,,79.8,28.5,18,18.3,,9.581,omnivorous
Rhinoclemmys,r. perixantha,M,122,98,,74.6,27.2,16.8,10.08,,6.901,omnivorous
Rhinoclemmys,r. perixantha,M,345,102.8,,74.8,21.3,19.3,11.2,,13.065,omnivorous
Rhinoclemmys,r. perixantha,M,179,103.1,,81,28.6,18.5,12.6,,9.782,omnivorous
Rhinoclemmys,r. perixantha,F,346,117.2,,89.3,,,,,8.375,omnivorous
Rhinoclemmys,r. perixantha,F,133,128.5,,95.3,33.4,2.3,15.8,,14.807,omnivorous
Rhinoclemmys,r. rubida,M,1002,130.69,,100.2,33.5,22.8,17,,18.492,omnivorous
Rhinoclemmys,r. rubida,M,4004,137.1,,103.1,34.1,23.9,18,,25.862,omnivorous
Rhinoclemmys,r. rubida,M,4000,138.95,,102.6,32.8,23.5,17.1,,28.073,omnivorous
Rhinoclemmys,r. rubida,F,2,146.23,,104.27,36.2,25.4,17.8,,31.49,omnivorous
Rhinoclemmys,r. rubida,F,1,161.09,,122,38.38,25.48,18.52,,38.056,omnivorous
Rhinoclemmys,r. rubida,F,1005,161.13,,115.2,39.8,25.9,21.6,,26.8,omnivorous
Rhinoclemmys,r. rubida,F,7026,163.06,,114.09,42.57,27.2,21.73,,35.443,omnivorous
Staurotypus,salvini,,SS1,155.86,100.55,590,57.06,40.75,31.25,36.41,188.78,durophagous
Staurotypus,salvini,,SS2,165.54,113.26,656,56.73,39.6,28.5,37.79,172.22,durophagous
Staurotypus,salvini,,SS3,191.47,121.77,984,79.16,52.1,39.66,51.2,393.76,durophagous
Staurotypus,triporcatus,,STJ1,40.43,33.17,10.08,14.08,12.68,10.02,11.23,15.99,durophagous
Staurotypus,triporcatus,,STJ2,41.89,33.32,11.72,14.16,13.15,10.09,12.3,16.28,durophagous
Staurotypus,triporcatus,,STJ3,45.01,36.16,15.22,15.83,14.24,11.19,13.87,22.01,durophagous
Staurotypus,triporcatus,,ST3,115.67,85,263.5,44,30.3,22.19,30.18,122.54,durophagous
Staurotypus,triporcatus,,ST1,117.79,85.69,284,97.17,31,23.04,30.04,118.68,durophagous
Staurotypus,triporcatus,,ST5,125.94,88.32,357.5,48.64,33.52,25.59,34.55,156.95,durophagous
Staurotypus,triporcatus,,ST4,127.03,87.4,327.5,50.67,34.46,25.5,32.43,139.66,durophagous
Staurotypus,triporcatus,,ST2,130.71,89.61,358.5,45.04,33.8,24.9,33.37,168.91,durophagous
Staurotypus,triporcatus,,STL1,360,175.9,3775,106.27,74.7,52.09,74.2,491.21,durophagous
Sternotherus,odoratus,,SO1,64.99,45.55,609,19.95,16.42,12.98,15.82,18.77,durophagous
Sternotherus,odoratus,,SO2,93.43,70.25,162,31.68,19.65,15.85,19.01,20.52,durophagous
Sternotherus,odoratus,,SOWC1,107.7,76.39,190.72,36.69,24.43,18.31,23.5,52.87,durophagous
Terrapene,carolina,,TC1,108.94,87.78,259.9,24.16,16.87,15.2,20.19,17.32,insectivorous
Terrapene,carolina,,TC2,119.57,89.29,338.25,24.07,18.97,16.98,21.71,24.94,insectivorous
Terrapene,carolina,,TC3,124.72,96.7,486,29.06,21.08,17.89,23.76,32.56,insectivorous
Terrapene,nelsoni,M,2,116.2,,78.3,45,26.3,25.2,,47.972,omnivorous
Terrapene,nelsoni,F,6,122.3,,87.6,40.8,24.2,25,,36.113,omnivorous
Terrapene,nelsoni,M,5,132.8,,95.9,47.3,29,25,,49.245,omnivorous
Terrapene,nelsoni,M,4,133.2,,83.8,45.8,27.5,27.2,,49.58,omnivorous
Terrapene,nelsoni,M,8,134.4,,89,44,28.3,24.8,,35.845,omnivorous
Terrapene,nelsoni,F,26,136.2,,90.2,40.8,26.2,25.3,,37.118,omnivorous
Terrapene,nelsoni,M,7,138.5,,92.1,41.6,25.7,25.6,,39.061,omnivorous
Terrapene,nelsoni,F,3,138.7,,92.8,42.8,24.6,24.8,,41.205,omnivorous
Terrapene,nelsoni,M,25,156,,90.5,47.8,28.8,26.7,,75.643,omnivorous
Terrapene,yucatana,F,2,134.7,,95.1,37.9,20.3,19,,29.48,omnivorous
Terrapene,yucatana,M,1005,136.8,,103.7,40.5,24.5,23.2,,48.91,omnivorous
Terrapene,yucatana,F,2,140.1,,104.6,41.5,23.8,21.2,,42.612,omnivorous
Terrapene,yucatana,F,1002,141.7,,100.1,38.2,21.3,19,,35.108,omnivorous
Terrapene,yucatana,F,1009,145,,100.6,41.3,24.8,22.3,,44.823,omnivorous
Terrapene,yucatana,M,1,145.8,,104,44,23.5,24.3,,41.473,omnivorous
Terrapene,yucatana,F,1001,147,,104,42.9,23.9,22,,38.726,omnivorous
Terrapene,yucatana,M,1,150.8,,105.9,41.3,24,21.3,,46.23,omnivorous
Terrapene,yucatana,F,1003,151.2,,99.8,39.5,24.8,24,,50.116,omnivorous
Terrapene,yucatana,M,1021,154,,95,44.6,24.2,22.3,,45.828,omnivorous
Testudo,horsfieldi,,TH1,112.88,100.15,373.12,19.89,20.19,17.41,21.82,18.2,herbivorous
Trachemys,grayi,F,1009,296,,212,68.39,40.82,32.63,,83.08,omnivorous
Trachemys,grayi,M,1007,329,,252,71.96,40.25,31.01,,55.61,omnivorous
Trachemys,grayi,F,1010,333,,250,80.79,47.68,38.12,,119.26,omnivorous
Trachemys,grayi,M,1008,353,,251,74.16,46.82,33.63,,83.08,omnivorous
Trachemys,grayi,F,1004,367,,270,84.73,49.06,36.69,,117.92,omnivorous
Trachemys,grayi,F,1005,394,,291,78.05,52.98,40.51,,127.97,omnivorous
Trachemys,grayi,F,1006,409,,301,92.22,56.31,36.28,,154.77,omnivorous
Trachemys,scripta,m,TS22,28.92,28.37,5.46,11.92,8.54,7.21,8.74,1.02,omnivorous
Trachemys,scripta,j,TS17,30.37,29.54,5.88,11.66,8.88,7.21,8.88,2.64,omnivorous
Trachemys,scripta,m,TS21,33,33.55,7.68,12.78,9.54,7.61,10.29,1.77,omnivorous
Trachemys,scripta,m,TS19,33.57,34.55,8.03,12.43,9.64,7.54,10.12,1.77,omnivorous
Trachemys,scripta,f,TS20,35.32,36.85,9.2,13.03,9.67,7.64,9.74,2.2,omnivorous
Trachemys,scripta,j,TS16,38.8,39.29,11.35,13.79,10.08,8.36,9.67,3.81,omnivorous
Trachemys,scripta,j,TS18,39.21,38.22,10.91,13.99,9.95,8.02,10.7,2.5,omnivorous
Trachemys,scripta,j,TS15,41.33,39.94,14.06,14.36,10.29,8.39,10.57,4.54,omnivorous
Trachemys,scripta,j,TS13,48.54,45.22,20.59,16.41,11.28,8.67,11.11,5.14,omnivorous
Trachemys,scripta,j,TS14,49.89,47.09,22.79,15.8,11.18,8.79,11.55,6.02,omnivorous
Trachemys,scripta,j,TS12,52.23,49.77,27.33,17.08,11.8,9.16,11.15,4.54,omnivorous
Trachemys,scripta,f,TS23,60.1,57.37,41.77,18.67,13.12,10.03,13.86,7.04,omnivorous
Trachemys,scripta,j,TS10,60.16,56.93,40.61,19.86,13.13,10.45,12.76,9.68,omnivorous
Trachemys,scripta,m,TS4,61.44,53.74,40.5,30.03,11.24,11.36,19.54,5.21,omnivorous
Trachemys,scripta,f,TS2,61.47,59.83,52,,15.15,14.08,,6.88,omnivorous
Trachemys,scripta,j,TS11,61.5,57.73,45.57,20.01,13.15,10.68,14.34,10.85,omnivorous
Trachemys,scripta,j,TS8,67.78,65.53,35.26,19.83,13.78,11.32,13.71,9.69,omnivorous
Trachemys,scripta,j,TS9,72.1,62.36,58.05,19.98,14.47,11.23,15.21,5.58,omnivorous
Trachemys,scripta,m,TS7,92.38,76.72,122.22,25.3,17.46,13.66,18.61,15.27,omnivorous
Trachemys,scripta,f,TS6,94.98,79.26,131.47,22.62,17.85,13.41,16.64,12.04,omnivorous
Trachemys,scripta,f,TS5,100.51,86.16,164.39,26.12,17.27,14.21,18.96,15.55,omnivorous
Trachemys,scripta,m,TS1,103.35,83.54,164,29.66,18,16,18.53,14.37,omnivorous
Trachemys,scripta,,TS24,106.12,83.71,173.22,26.95,18.62,14.37,18.14,8.23,omnivorous
Trachemys,scripta,m,TS4,115.29,96.23,226.22,31.46,19.08,14.37,20.15,14.97,omnivorous
Trachemys,scripta,m,TS3,117.79,94.94,248.06,29.63,18.5,15.1,20.06,19.08,omnivorous
Trachemys,scripta,f,TS6,135.49,113.42,393,40.83,23.17,19.71,24.46,14.46,omnivorous
Trachemys,scripta,,TS25,139.66,111.06,489,38.93,25.04,19.12,27.66,31.98,omnivorous
Trachemys,scripta,m,TS2,145.58,116.32,465.5,35.84,22.91,17.46,26.08,24.66,omnivorous
Trachemys,scripta,f,TS1,147.18,118.8,471.5,35.76,21.97,17.21,25.17,19.06,omnivorous
Trachemys,scripta,,TS26,153.51,123.35,504,38.89,25.46,18.87,25.8,34.05,omnivorous
Trachemys,scripta,m,TS5,169.21,119.01,674,48.53,25.62,21.2,28.26,27.49,omnivorous
Trachemys,scripta,,TS27,187.63,140.84,949.5,42.29,28.23,22.43,31.78,35.21,omnivorous
Trachemys,scripta,,TS28,245,178.56,2132,52.08,38.04,27.6,46.62,104.14,omnivorous
